match_date,league,home_team,away_team,outcome,p_model,odds,implied_prob,edge,EV,kelly_fraction,half_kelly,actual_result,won,profit_flat,profit_kelly,clv
2024-04-13,Championship,Preston,Norwich,H,0.4009,3.1,0.3226,0.0917,0.2428,0.1156,0.0578,A,0,-1.0,-0.0578,0.2173
2024-04-13,Championship,Bristol City,Huddersfield,H,0.5185,2.3,0.4348,0.1045,0.1925,0.1481,0.0741,D,0,-1.0,-0.0741,0.1761
2024-04-13,EPL,Nott'm Forest,Wolves,A,0.3559,3.5,0.2857,0.0853,0.2456,0.0983,0.0491,D,0,-1.0,-0.0491,0.2197
2024-04-14,SerieA,Sassuolo,Milan,A,0.6592,1.75,0.5714,0.1184,0.1535,0.2047,0.1023,D,0,-1.0,-0.1023,0.1428
2024-04-14,EPL,West Ham,Fulham,H,0.5033,2.38,0.4202,0.105,0.1978,0.1433,0.0717,A,0,-1.0,-0.0717,0.1805
2024-04-14,LaLiga,Las Palmas,Sevilla,H,0.4075,2.7,0.3704,0.0558,0.1002,0.0589,0.0295,A,0,-1.0,-0.0295,0.0955
2024-04-14,Ligue1,Le Havre,Nantes,H,0.447,2.6,0.3846,0.0811,0.1621,0.1013,0.0507,A,0,-1.0,-0.0507,0.1503
2024-04-14,Ligue1,Clermont,Montpellier,H,0.3548,3.3,0.303,0.0673,0.171,0.0743,0.0372,D,0,-1.0,-0.0372,0.1578
2024-04-14,EPL,Arsenal,Aston Villa,A,0.1707,10.0,0.1,0.0753,0.7067,0.0785,0.0393,A,1,9.0,0.3533,0.5345
2024-04-16,Championship,Southampton,Preston,A,0.1699,9.0,0.1111,0.0645,0.5293,0.0662,0.0331,H,0,-1.0,-0.0331,0.4248
2024-04-16,Championship,Southampton,Preston,D,0.2343,5.25,0.1905,0.0535,0.2299,0.0541,0.027,H,0,-1.0,-0.027,0.2069
2024-04-19,Bundesliga,Ein Frankfurt,Augsburg,H,0.5278,2.0,0.5,0.0527,0.0556,0.0556,0.0278,H,1,1.0,0.0278,0.0541
2024-04-19,Segunda,Tenerife,Leganes,A,0.3496,3.2,0.3125,0.0538,0.1188,0.054,0.027,D,0,-1.0,-0.027,0.1123
2024-04-19,Bundesliga2,Nurnberg,Paderborn,H,0.3783,3.0,0.3333,0.0622,0.135,0.0675,0.0337,A,0,-1.0,-0.0337,0.1266
2024-04-20,Segunda,Huesca,Zaragoza,H,0.4438,2.7,0.3704,0.0954,0.1981,0.1166,0.0583,A,0,-1.0,-0.0583,0.1808
2024-04-20,Ligue2,Pau FC,Laval,H,0.4706,2.55,0.3922,0.105,0.2001,0.1291,0.0645,H,1,1.55,0.1,0.1824
2024-04-20,Championship,Rotherham,Birmingham,H,0.3288,5.5,0.1818,0.1555,0.8082,0.1796,0.0898,D,0,-1.0,-0.0898,0.5923
